,account_number,meeting_date,txdatetime,itsp_track_sym,venue_name,venue_country,serial_number,race_num,runners,base,bet_type,gross_sales,refunds,bet_amount,tradingprofitloss,rebate_rate,rebate,date,x8_track_sym,race_id,net_return,gross_roi,net_roi,is_paid,is_unbet,is_single_leg,is_multi_runner,is_multi_race,is_bet_modifier
84,800679740,2018/01/01,2018/01/01 11:00:14,JGD,Fair Grounds,US,49306297165485,1,1,2.0,WN,2.0,0.0,2.0,6.4,3.65,0.073,2018-01-01,FGX,FGX_20180101_1,6.473,3.2,3.2365,1,0,t,f,f,f
85,800679740,2018/01/02,2018/01/02 11:00:14,PHD,Philadelphia Park,US,20283417056292,1,1,2.0,WN,2.0,0.0,2.0,-2.0,7.65,0.153,2018-01-02,PHA,PHA_20180102_1,-1.847,-1.0,-0.9235,0,0,t,f,f,f
86,800679740,2018/01/02,2018/01/02 11:00:14,SND,Sunland Park,US,6452365856176,1,1,2.0,WN,2.0,0.0,2.0,-2.0,11.65,0.233,2018-01-02,SUN,SUN_20180102_1,-1.767,-1.0,-0.8835,0,0,t,f,f,f
87,800679740,2018/01/03,2018/01/03 11:00:17,MVD,Mahoning Valley,US,86638633870125,1,1,2.0,WN,2.0,0.0,2.0,-2.0,5.65,0.113,2018-01-03,MVR,MVR_20180103_1,-1.8869999999999998,-1.0,-0.9435,0,0,t,f,f,f
88,800679740,2018/01/03,2018/01/03 11:00:17,TAM,Tampa Bay Downs,US,27829265407529,1,1,2.0,WN,2.0,0.0,2.0,-2.0,3.3,0.066,2018-01-03,TAM,TAM_20180103_1,-1.9340000000000002,-1.0,-0.9670000000000001,0,0,t,f,f,f
89,800679740,2018/01/03,2018/01/03 11:00:17,DTN,Delta Downs,US,22336558768211,1,1,2.0,WN,2.0,0.0,2.0,-2.0,7.15,0.14300000000000002,2018-01-03,DED,DED_20180103_1,-1.857,-1.0,-0.9285,0,0,t,f,f,f
90,800679740,2018/01/04,2018/01/04 11:00:17,JGD,Fair Grounds,US,42048678203835,1,1,2.0,WN,2.0,0.0,2.0,-2.0,3.65,0.073,2018-01-04,FGX,FGX_20180104_1,-1.9269999999999998,-1.0,-0.9635,0,0,t,f,f,f
91,800679740,2018/01/05,2018/01/05 11:00:20,JGD,Fair Grounds,US,93668445990240,1,1,2.0,WN,2.0,0.0,2.0,2.6,3.65,0.073,2018-01-05,FGX,FGX_20180105_1,2.673,1.3,1.3365,1,0,t,f,f,f
92,800679740,2018/01/05,2018/01/05 11:00:20,TAM,Tampa Bay Downs,US,25400689659425,1,1,2.0,WN,2.0,0.0,2.0,-2.0,3.3,0.066,2018-01-05,TAM,TAM_20180105_1,-1.9340000000000002,-1.0,-0.9670000000000001,0,0,t,f,f,f
93,800679740,2018/01/06,2018/01/06 11:00:24,LDM,Louisiana Downs,US,48298722735103,1,1,2.0,WN,2.0,2.0,0.0,0.0,7.15,0.0,2018-01-06,LAD,LAD_20180106_1,0.0,,,0,1,t,f,f,f
94,800679740,2018/01/06,2018/01/06 12:17:31,TAM,Tampa Bay Downs,US,72600486813396,9,5,2.0,WN,2.0,0.0,2.0,-2.0,3.3,0.066,2018-01-06,TAM,TAM_20180106_9,-1.9340000000000002,-1.0,-0.9670000000000001,0,0,t,f,f,f
95,800679740,2018/01/06,2018/01/06 11:00:25,JGD,Fair Grounds,US,79392989045801,1,1,2.0,WN,2.0,0.0,2.0,-2.0,3.65,0.073,2018-01-06,FGX,FGX_20180106_1,-1.9269999999999998,-1.0,-0.9635,0,0,t,f,f,f
96,800679740,2018/01/06,2018/01/06 12:17:31,TAM,Tampa Bay Downs,US,28129464488993,8,7,2.0,WN,2.0,0.0,2.0,21.2,3.3,0.066,2018-01-06,TAM,TAM_20180106_8,21.266,10.6,10.633,1,0,t,f,f,f
97,800679740,2018/01/06,2018/01/06 12:17:31,TPD,Turfway Park,US,47133455077784,1,7,2.0,WN,2.0,0.0,2.0,-2.0,6.15,0.12300000000000001,2018-01-06,TPX,TPX_20180106_1,-1.8769999999999998,-1.0,-0.9385,0,0,t,f,f,f
98,800679740,2018/01/06,2018/01/06 12:17:31,TPD,Turfway Park,US,55086660255622,6,2,2.0,WN,2.0,2.0,0.0,0.0,6.15,0.0,2018-01-06,TPX,TPX_20180106_6,0.0,,,0,1,t,f,f,f
